Taxon_name	Attribute
Methylogaea	aerobic
Haloactinobacterium	facultatively anaerobic
Xiangella	aerobic
Haloechinothrix	aerobic
Phytomonospora	aerobic
Pontimonas	aerobic
Methylomarinovum	aerobic
Rhizocola	aerobic
Halapricum 	aerobic
Methyloprofundus	aerobic
Diaminobutyricibacter	aerobic
Salinigranum	aerobic
Salinirubrum	aerobic
Canibacter	facultatively anaerobic
Homoserinibacter	aerobic
Natribaculum	aerobic
Melghiribacillus	aerobic
Fermentibacillus	anaerobic
Acetatifactor	anaerobic
Acidipila	aerobic
Acutalibacter	anaerobic
Aidingimonas	facultatively anaerobic
Albidovulum	aerobic
Alkalicoccus	aerobic
Amnibacterium	aerobic
Anaerobium	anaerobic
Anaerocolumna	anaerobic
Anaerolinea	anaerobic
Anaerosalibacter	anaerobic
Aquibacillus	aerobic
Aquicella	aerobic
Arenicella	aerobic
Arenimicrobium	aerobic
Aridibacter	aerobic
Auraticoccus	aerobic
Baia	aerobic
Bauldia	aerobic
Bellilinea 	aerobic
Blastocatella	aerobic
Brevitalea	aerobic
Brockia	anaerobic
Bryobacter	aerobic
Bryocella	aerobic
Caenibacillus	aerobic
Calderihabitans	anaerobic
Caldisericum	anaerobic
Caloribacterium	anaerobic
Caviibacter	anaerobic
Cecembia	aerobic
Celeribacter 	aerobic
Cognatishimia	aerobic
Compostibacillus	facultatively anaerobic
Conyzicola	aerobic
Crassaminicella	anaerobic
Croceifilum	aerobic
Cuneatibacter	anaerobic
Deinobacterium	aerobic
Desulfallas	anaerobic
Desulfarculus	anaerobic
Desulfatiferula	anaerobic
Desulfatiglans	anaerobic
Desulfatirhabdium	anaerobic
Desulfatitalea	anaerobic
Desulfobotulus	anaerobic
Desulfoconvexum	anaerobic
Desulfocucumis	anaerobic
Desulfofarcimen	anaerobic
Desulfofundulus	anaerobic
Desulfohalotomaculum	anaerobic
Desulfoluna	anaerobic
Desulfonatronobacter	anaerobic
Desulfopila	anaerobic
Desulfoplanes	anaerobic
Desulfoprunum	anaerobic
Desulforegula	anaerobic
Desulfosalsimonas	anaerobic
Desulfosoma	anaerobic
Desulfothermus	anaerobic
Desulfovirgula	anaerobic
Dethiobacter	anaerobic
Devriesea 	facultatively anaerobic
Diaminobutyricimonas	aerobic
Effusibacillus 	aerobic
Elioraea	aerobic
Epibacterium	aerobic
Ercella	anaerobic
Extibacter	anaerobic
Flavimaricola	aerobic
Flintibacter	anaerobic
Fonticella	anaerobic
Fuchsiella	anaerobic
Fusicatenibacter	anaerobic
Gaiella	aerobic
Galbitalea	aerobic
